name,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial P5 Plus,228.8,2000.0,0.114,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 800,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X w/Heatsink,639.99,8000.0,0.08,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,45.77,500.0,0.092,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD Green SN3000,119.99,2000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,29.99,500.0,0.06,HDD,16.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,23.99,256.0,0.094,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro NAS,419.99,20000.0,0.021,HDD,256.0,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,75.98,1000.0,0.076,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,67.99,512.0,0.133,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN550,104.85,1000.0,0.105,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7,124.99,2000.0,0.062,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,91.99,2000.0,0.046,SSD,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Delta Max RGB Lite,58.99,1000.0,0.059,SSD,128.0,2.5,SATA 6.0 Gb/s
Silicon Power A55,27.99,512.0,0.055,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,64.98,2000.0,0.032,HDD,256.0,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,849.0,8000.0,0.106,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Lexar NQ790,146.79,2000.0,0.073,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
PNY XLR8 CS3040,499.99,4000.0,0.125,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M371,49.99,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P510,179.99,2000.0,0.09,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Crucial MX500,132.0,500.0,0.264,SSD,512.0,2.5,SATA 6.0 Gb/s
TEAMGROUP QX,85.99,2000.0,0.043,SSD,128.0,2.5,SATA 6.0 Gb/s
MSI SPATIUM M460,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot Viper VP4300 Lite,64.98,1000.0,0.065,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,150.99,1000.0,0.151,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,23.49,240.0,0.098,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital WD_Black SN850X w/Heatsink,174.99,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
